num,type,
1,Blanche,
2,Blonde,
3,Brune,
4,Ambrée,
5,IPA,
6,Stout,
7,Noire,
8,Triple,
9,Pale Ale,
10,Cidre,
11,Trappiste,
12,Oatmeal Milk Stout,
13,Double,
14,Post Modern Classic,
15,Red Axe,
16,Lager,
17,Bitter,
18,Fruits,
19,Spéciale,
20,Saison printemps,
21,Saison été,
22,Saison automne,
23,Saison hiver,
24,Lambic,
25,Rousse,
26,Session IPA,
27,Belgian Strong Ale,
28,Belgian Pale Ale,
29,Noël,
30,Epice,
31,Quadruple,
32,Whisky,
33,Cervoise,
34,Fumée,
35,Organique,
36,Scotch,
37,Porter,
40,Irish Red Ale,
50,Soft,
51,Sirop,